genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200221 WT S5,120h,166,0.6480627444928387,0.3206637602419626,0.0883051489221314,0.5042155287922679,0.4388439994042802,0.1191583496656464,216.469,172.344,208.9673681788336,0.7961601892187796,0.9653454683064716,1.2125015560671308
WT,20200221 WT S5,120h,678,0.840210021275165,0.1266071801212683,0.0341948825651611,0.5791395818710985,0.3454293300647148,0.0934602733462991,645.469,392.344,450.1052960004566,0.607843289143243,0.6973306169629472,1.1472210509156673
WT,20200221 WT S5,120h,22,0.5978997892950131,0.310855929631273,0.082067295739605,0.3577919261800854,0.6024091252833051,0.1634624385479362,792.875,859.031,1028.4367835719222,1.083438120763046,1.2970982608506034,1.197205669611367
WT,20200221 WT S5,120h,150,0.7280322240199235,0.2506400915739493,0.0707255261421053,0.3024116984265089,0.711765584132171,0.1863612843091567,620.313,589.156,734.575017266578,0.9497721311660403,1.1842005846509391,1.2468259973022053
WT,20200221 WT S5,120h,598,0.7451863311643212,0.1541528027542398,0.0421050793179636,0.388316081110755,0.655452484707594,0.1838299061561111,835.406,941.188,1050.4171458527444,1.1266234621250026,1.2573732363099432,1.1160545458003548
WT,20200221 WT S5,120h,214,0.6386216357672597,0.2190085956147198,0.0578182214554549,0.333701115299591,0.5719586755225776,0.1363049694144178,547.86,517.649,659.8400763032276,0.9448563501624503,1.2043954227416267,1.274686276421335
WT,20200221 WT S5,120h,54,0.7965467951382534,0.1355822972647232,0.0367560863835971,0.8737545523693941,0.084552189842229,0.0226779657156803,88.125,54.5,55.65919108964518,0.6184397163120567,0.6315936577548389,1.0212695612778933
WT,20200221 WT S5,120h,566,0.7934706640731024,0.183167449492551,0.0463523943547819,0.4699345170170643,0.4873368714829938,0.1333710775271392,886.063,930.906,1137.4223880957873,1.0506092681897337,1.2836811695057657,1.2218445128678808
WT,20200221 WT S5,120h,310,0.5949110417278111,0.2850016899892434,0.0769739651287849,0.5349170537298766,0.536479810260395,0.1487755080757843,172.361,155.663,178.11384866657315,0.9031219359367839,1.0333767422245934,1.1442272644531657
WT,20200221 WT S5,120h,182,0.6904435293273049,0.1676087917574087,0.0451234633171462,0.5723425269224909,0.381207467435,0.1059048989746785,667.031,749.875,804.3918106340909,1.1241981257242917,1.205928675929741,1.0727011977117398
